title,description,price,category,file_path,uuid
Bubble Tea,"A sweet and creamy Bubble tea, with chewy tapioca pearls.",22.0,tea,images/bubble-tea.jpg,209ef33a-183e-4c32-b57d-988a2457860d
Lapsang Souchong,"A smoky Lapsang Souchong tea, perfect for adventurous palates.",18.0,tea,images/lapsang-souchong.jpg,c1824887-7ec1-4292-b037-4d1a7d309eb6
Tie Guan Yin,"A floral Tie Guan Yin oolong tea, revered in Chinese culture.",16.0,tea,images/tie-guan-yin.jpg,4568311c-1239-4e36-8235-2ad104bfb848
Butterfly Pea Flower Tea,"A vibrant Butterfly Pea Flower tea, changing color with a squeeze of lemon.",15.0,tea,images/butterfly-pea-flower-tea.jpg,5a0ea94a-0fa5-47f1-8dc2-3880b0559378
Mulberry Leaf Tea,"A healthy Mulberry Leaf tea, known for its natural sweetness.",14.0,tea,images/mulberry-leaf-tea.jpg,16da4c5b-8d0e-4bf8-93b2-258ca61c1bec
Barley Tea,"A roasted Barley tea, popular in East Asia for its nutty flavor.",10.0,tea,images/barley-tea.jpg,a0d60fac-bf85-40b6-8a37-fe5436fff903
Honeybush Tea,"A honey-like Honeybush tea, caffeine-free and sweet.",13.0,tea,images/honeybush-tea.jpg,2fe1d8af-75b7-4046-be00-6ae73bdf1001
Hibiscus Rose Tea,"A blend of Hibiscus and Rose tea, tart and floral.",12.0,tea,images/hibiscus-rose-tea.jpg,9be5b883-a31d-4a40-9ec7-bf5de449ed15
Chrysanthemum Tea,"A light and sweet Chrysanthemum tea, great for calming the mind.",11.0,tea,images/chrysanthemum-tea.jpg,0dbd47f0-44c8-4db6-8eb2-50f5fb3ab9dd
Detox Tea,"A detoxifying herbal tea blend, perfect for cleansing the body.",15.0,tea,images/detox-tea.jpg,6f51657e-4124-4af5-b198-b162b4efcbc5
