Date,CustomerID,PurchaseID,Rating,Comments
2024-02-07 02:27:36.331501,3e004ef1-8faa-4f01-89e7-c74adad709c4,c5e6563a-7986-4819-bead-9f33d67e010c,2,My dogs can't get enough!
2024-02-07 02:27:36.333171,9530b854-5a48-4b82-a7ae-a4efc263f7a6,2708ccb5-d303-40e5-9a82-1e5cec4930d1,5,My dogs can't get enough!
2024-02-07 02:27:36.333185,5ed75a45-0e73-4385-8f1f-9f15b9a82d25,31c0db6c-c60b-4875-bb32-2ec51c689bac,1,Barktastic!
2024-02-07 02:27:36.333189,84a16db7-89f9-4a53-a8e1-7f25b708da33,67a83ad1-024a-4260-b3a1-5b4ac91ab871,2,"Even after a year of chew, still good!"
2024-02-07 02:27:36.333193,cf389e41-ac95-470e-b16f-65062fdaedb9,b7bcf1d7-68e6-4bdb-8e7a-bfba558db667,4,With this my dog can take on any squirrel!
2024-02-07 02:27:36.333197,910d5dad-9b3d-4edf-a706-412e6744a39f,d96db6c2-6ae0-4599-8df6-a444dbfe52e2,1,"Even after a year of chew, still good!"
2024-02-07 02:27:36.333200,30fad97c-ee15-4e35-b40c-73c337106de0,468a8b4a-f817-4478-847e-b8afdf5955de,5,My dogs can't get enough!
2024-02-07 02:27:36.333204,77abf4ba-10ff-4b4b-81bf-c665f25ff5a7,0e626ada-21b0-457a-9b42-613bce0b24c2,2,Barktastic!
2024-02-07 02:27:36.333207,85e224c7-4c7e-48df-8781-ab1093f0af30,645d43e8-1cad-42fb-bf87-b5127a91d102,2,With this my dog can take on any squirrel!
2024-02-07 02:27:36.333210,45c5c938-ddd6-4e04-ba27-bb77eb83a3a4,288cb41d-0d04-49f0-bb8f-bbaf360463a6,3,Woof!
2024-02-07 02:27:36.333214,84987899-cdb0-4e52-915f-aa46c9047ec4,655cbd1a-2f05-45b1-834d-478ad4de731a,1,Barktastic!
2024-02-07 02:27:36.333218,159161b0-4438-4e9a-b620-9bf4d1c6dda2,87f9ec16-de39-4fe8-95ac-9808756368bf,2,Woof!
2024-02-07 02:27:36.333221,8bd52a36-c719-4df6-ad75-66da0769e2ce,499905f2-f078-40fc-ad25-0be077982b70,4,With this my dog can take on any squirrel!
2024-02-07 02:27:36.333224,7938f852-8959-4be6-99a3-2001aa3101f6,615ab55d-c095-4c9a-9d0a-7f2db1c738c3,1,"Even after a year of chew, still good!"
2024-02-07 02:27:36.333227,94317f04-8fbd-4761-858d-77b5f19f0de6,aa0f1978-e0da-467e-9606-b9a5f40e270d,1,Woof!
2024-02-07 02:27:36.333231,d7ca434d-4eb9-4211-9ab0-214973d64ab5,ccf15505-b2b3-4fad-bece-86f3c128307a,5,"Even after a year of chew, still good!"
2024-02-07 02:27:36.333234,1440ae27-7da6-4e44-a748-6ad9402fe1be,c104b4c9-80ce-439c-aa1a-c29fcf36ac05,1,With this my dog can take on any squirrel!
2024-02-07 02:27:36.333237,782c3ddc-c3bf-4905-b9c3-35c525ca0a47,228ba480-471f-4568-a230-94ea56b708bd,3,Barktastic!
2024-02-07 02:27:36.333240,35d6ad2e-5f7b-4e0c-b150-fb1823e41d59,c0e7e57c-f16a-4fe8-b03c-8d29e3069e0b,1,My dogs can't get enough!
2024-02-07 02:27:36.333244,1b84fc9b-5fa4-4146-ae0d-e9e4b48b7359,f9fa56a3-368c-477e-8858-89fdf81ffa6e,5,With this my dog can take on any squirrel!
2024-02-07 02:27:36.333247,c55e59d7-e62a-4f79-aed9-24a0beec716e,4349b77e-f4b5-4094-987c-6ad585aae438,3,"Even after a year of chew, still good!"
2024-02-07 02:27:36.333250,b59a90d8-c05a-4a5f-85e8-a75ecfcd997f,262a0b78-9a5f-4872-bf99-e08c7a9721e5,5,My dogs can't get enough!
2024-02-07 02:27:36.333253,5c95c83c-a50f-4475-8136-4cfb2f816014,592b6893-14b5-4504-a1e5-685bffb635c9,2,My dogs can't get enough!
2024-02-07 02:27:36.333256,0ad56657-c066-4c10-b605-02dc4df3116c,467d9db9-adf3-4214-b85d-e2b01985eaf7,2,With this my dog can take on any squirrel!
2024-02-07 02:27:36.333259,f164ab33-1a22-4ccd-92de-d6284033c663,bfb10f07-bbad-4766-bb1d-04f6d17bd985,4,My dogs can't get enough!
2024-02-07 02:27:36.333263,06f9e8c9-0e2e-4978-9f41-d76de0ccedf9,62b4a56c-035a-48b2-8922-d9c69cae07f0,3,"Even after a year of chew, still good!"
2024-02-07 02:27:36.333266,abd33d77-ba66-486b-b32b-989c65a99879,4cc7c839-3023-4c8b-8c33-8c267dbdd23b,3,Barktastic!
2024-02-07 02:27:36.333269,2df75ad9-8860-4f75-8e65-23d57428a5aa,00017674-fcd7-4f32-9c89-28637d1acb9d,5,"Even after a year of chew, still good!"
2024-02-07 02:27:36.333272,9f616c18-c9b9-4824-a753-7705fdff0b57,3f2e487a-0890-4e65-a3de-9a9024dedb3e,2,"Even after a year of chew, still good!"
2024-02-07 02:27:36.333275,fad75995-fbea-46b9-adf2-248bbd6550f9,9728f634-edd0-40b8-b760-942cdc5d8f1b,1,Woof!
